reviewId,hotelId,hotelName,source,submittedAt,overallRating,ratingLabel,reviewText,subRatings,verified,reviewerName,reviewerLocation,checkInDate,checkOutDate,travelCompanions,travelerCategories,language,isMachineTranslated,helpfulVotes,imagesCount,reviewPhotos,ownerResponse_text,ownerResponse_date,roomTypeId,isAnonymous,brandType
6a43e8ab74753d675dda4ec1,140596,Bellagio Las Vegas United States Of America,hotels,2026-07-03T23:19:56Z,10,Exceptional,.,Cleanliness: 10; Service: 10; Hotel condition: 10; Amenities: 10,True,Oyaima,,2026-06-22T00:00:00Z,2026-06-26T00:00:00Z,,Everyone,en,False,0,0,,,,314062401,False,Expedia
6a4840d06b53421f7f197600,140596,Bellagio Las Vegas United States Of America,hotels,2026-07-03T23:11:41Z,8,Very good,Expansive property… the pools were fabulous! The check-in-checkout line(long long line)  or anytime I had to deal with the desk it took forever.,Cleanliness: 10; Service: 6; Hotel condition: 8; Amenities: 6,True,Anna,,2026-06-26T00:00:00Z,2026-06-29T00:00:00Z,Friends; Family with small children,Friends; Family with small children,en,False,0,0,,,,314062413,False,Expedia
6a46baea79b0b034874b25c8,140596,Bellagio Las Vegas United States Of America,hotels,2026-07-03T22:55:57Z,10,Exceptional,The room was 6 star and the entire staff was the friendliest I have been around.,Cleanliness: 10; Service: 10; Hotel condition: 10; Amenities: 10,True,Jeffrey,,2026-06-24T00:00:00Z,2026-06-26T00:00:00Z,Family,Families,en,False,0,0,,,,201646683,False,Expedia
6a48301f6b53421f7f17694e,140596,Bellagio Las Vegas United States Of America,hotels,2026-07-03T21:58:10Z,10,Exceptional,Need more tables open,Cleanliness: 10; Service: 10; Hotel condition: 10; Amenities: 10,True,Daniel,,2026-06-29T00:00:00Z,2026-07-03T00:00:00Z,Partner,Partner; Couples,en,False,0,0,,,,201646680,False,Expedia
6a481f886434411849d63d62,140596,Bellagio Las Vegas United States Of America,hotels,2026-07-03T20:47:45Z,10,Exceptional,Great clean place. Nice rooms.,Cleanliness: 10; Service: 10; Hotel condition: 10; Amenities: 8,True,jeffrey G,,2026-06-28T00:00:00Z,2026-07-03T00:00:00Z,Partner,Partner; Couples,en,False,0,0,,,,314062401,False,Expedia
6a481ea86b53421f7f152667,140596,Bellagio Las Vegas United States Of America,hotels,2026-07-03T20:42:39Z,10,Exceptional,Nice,Cleanliness: 10; Service: 10; Hotel condition: 10; Amenities: 10,True,Alejandro,,2026-06-30T00:00:00Z,2026-07-03T00:00:00Z,,Everyone,en,False,0,0,,,,202101441,False,Expedia
6a47f3296434411849d02b57,140596,Bellagio Las Vegas United States Of America,hotels,2026-07-03T17:37:42Z,10,Exceptional,Beautiful place; great location and amazing staff,Cleanliness: 10; Service: 10; Hotel condition: 10; Amenities: 10,True,Eliza,,2026-06-30T00:00:00Z,2026-07-02T00:00:00Z,Family,Families,en,False,0,0,,,,314062413,False,Expedia
6a47c296ed083f2e4692f6a8,140596,Bellagio Las Vegas United States Of America,hotels,2026-07-03T14:11:15Z,10,Exceptional,The staff was helpful and kind when problems with check-in arose. The facilities were clean and the cleaning staff was kind.,Cleanliness: 10; Service: 10; Hotel condition: 10; Amenities: 10,True,Ana,,2026-06-29T00:00:00Z,2026-07-02T00:00:00Z,Friends,Friends,en,False,0,0,,,,314062401,False,Expedia
6a47be76ed083f2e469278ea,140596,Bellagio Las Vegas United States Of America,hotels,2026-07-03T13:53:23Z,10,Exceptional,Our room had a bedding set dirty and shower inconvenient and they were immediately cleaned the room and fixed the shower,Cleanliness: 6; Service: 10; Hotel condition: 10; Amenities: 10,True,Gregory,Park city,2026-04-01T00:00:00Z,2026-04-03T00:00:00Z,Family with small children,Family with small children,en,False,0,0,,,,314062413,False,Expedia
6a47a09cb061d004b252271f,140596,Bellagio Las Vegas United States Of America,hotels,2026-07-03T11:46:03Z,10,Exceptional,Best hotel I’ve ever stayed,Cleanliness: 10; Service: 10; Hotel condition: 10; Amenities: 10,True,Gilberto Alejandro,,2026-06-05T00:00:00Z,2026-06-07T00:00:00Z,Partner,Partner; Couples,en,False,0,0,,,,201646681,False,Expedia
